pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_spectype,st_teff,st_rad,st_mass,sy_dist
11 Com b,11 Com,2,1,Radial Velocity,2007.0,Xinglong Station,Published Confirmed,0,323.21,,4914.89848585,,G8 III,4874.0,13.76,2.09,93.1846
11 UMi b,11 UMi,1,1,Radial Velocity,2009.0,Thueringer Landessternwarte Tautenburg,Published Confirmed,0,516.22,,3337.07,,K4 III,4340.0,24.08,1.8,125.321
14 And b,14 And,1,1,Radial Velocity,2008.0,Okayama Astrophysical Observatory,Published Confirmed,0,186.76,,1131.15130051,,K0 III,4888.0,11.55,1.78,75.4392
14 Her b,14 Her,1,2,Radial Velocity,2002.0,W. M. Keck Observatory,Published Confirmed,0,1773.40002,,1481.0878,,,5338.0,0.93,0.9,17.9323
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996.0,Multiple Observatories,Published Confirmed,0,798.5,,565.7374,,,5750.0,1.13,1.08,21.1397
17 Sco b,17 Sco,1,1,Radial Velocity,2020.0,Lick Observatory,Published Confirmed,0,578.38,,1373.01871824,,K3 III,4157.0,25.92,1.22,124.953
18 Del b,18 Del,2,1,Radial Velocity,2008.0,Okayama Astrophysical Observatory,Published Confirmed,0,993.3,,3273.5,,G6 III,4979.0,8.5,2.3,76.222
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008.0,Gemini Observatory,Published Confirmed,0,,18.647,2543.0,1800.0,K7 V,4060.0,1.352,0.85,139.135
24 Boo b,24 Boo,1,1,Radial Velocity,2018.0,Okayama Astrophysical Observatory,Published Confirmed,0,30.3506,,289.2253,,G3 IV,4893.0,10.64,0.99,95.9863
24 Sex b,24 Sex,1,2,Radial Velocity,2010.0,Lick Observatory,Published Confirmed,0,452.8,,632.46,,,5098.0,4.9,1.54,72.0691
24 Sex c,24 Sex,1,2,Radial Velocity,2010.0,Lick Observatory,Published Confirmed,0,883.0,,273.32,,,5098.0,4.9,1.54,72.0691
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021.0,Subaru Telescope,Published Confirmed,0,,,1271.313628,1450.0,M V,3100.0,0.84,0.17,128.484
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013.0,Paranal Observatory,Published Confirmed,0,,,4131.79,,M5.5/M6,,,0.19,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013.0,W. M. Keck Observatory,Published Confirmed,0,,11.209,,1600.0,,3309.0,0.36645,0.353185,33.8281
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015.0,Cerro Tololo Inter-American Observatory,Published Confirmed,0,,16.14096,4417.837,,M6,3064.0,0.281,0.108,
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,Imaging,2018.0,Mauna Kea Observatory,Published Confirmed,0,,,3686.8095212,,M6 V,,,0.046,66.0613
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,,,5720.911326,2369.0,,,,,117.435
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010.0,Hubble Space Telescope,Published Confirmed,0,,,2383.6,,M8.5,,,0.019,
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,,,8899.195396,2677.0,,,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,,,6356.56814,2506.0,,,,,100.862
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004.0,Paranal Observatory,Published Confirmed,0,,,1271.0,1150.0,,2825.0,0.21887,0.188001,64.308
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015.0,Kepler,Published Confirmed,0,406.0,,591.16083702,,,29564.0,0.203,0.48,396.332
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,,,3813.940884,1616.0,,,,,34.1154
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016.0,W. M. Keck Observatory,Published Confirmed,0,,,3972.875,,K7 V,4045.0,,0.6,69.5737
2MASS J22501512+2325342 b,2MASS J22501512+2325342,1,1,Imaging,2018.0,The 2 (Two) Micron All Sky Survey (2MASS),Published Confirmed,0,,,9534.85221,1600.0,M3,,,,57.2309
4 UMa b,4 UMa,1,1,Radial Velocity,2006.0,Thueringer Landessternwarte Tautenburg,Published Confirmed,0,269.3,,2256.5,,K1 III,4415.0,18.11,1.234,73.4603
47 UMa b,47 UMa,1,3,Radial Velocity,1996.0,Lick Observatory,Published Confirmed,0,1076.6,,778.6835,,G0 V,5882.0,,1.063,13.7967
47 UMa c,47 UMa,1,3,Radial Velocity,2001.0,Lick Observatory,Published Confirmed,0,2287.0,,157.96071828,,,5829.16,1.136537,1.005192,13.7967
47 UMa d,47 UMa,1,3,Radial Velocity,2009.0,Lick Observatory,Published Confirmed,0,14002.0,,521.22,,,5872.0,1.21334,1.06,13.7967
51 Eri b,51 Eri,3,1,Imaging,2015.0,Gemini Observatory,Published Confirmed,0,,,1303.0964687,807.0,,7422.0,1.45,1.55,29.7575
51 Peg b,51 Peg,1,1,Radial Velocity,1995.0,Haute-Provence Observatory,Published Confirmed,0,4.2307969,,147.47238085,,,5760.76,1.186744,1.069296,15.4614
55 Cnc B b,55 Cnc B,2,7,Radial Velocity,2025.0,Mauna Kea Observatory,Published Confirmed,0,6.7994,,3.5,,M4.5 V,3286.0,0.274,0.26,12.4773
55 Cnc B c,55 Cnc B,2,7,Radial Velocity,2025.0,Mauna Kea Observatory,Published Confirmed,0,33.747,,5.3,,M4.5 V,3286.0,0.274,0.26,12.4773
55 Cnc b,55 Cnc,2,7,Radial Velocity,1996.0,Lick Observatory,Published Confirmed,0,14.651552,,276.0,,G8 V,5198.0,0.98,1.015,12.5855
55 Cnc c,55 Cnc,2,7,Radial Velocity,2004.0,McDonald Observatory,Published Confirmed,0,44.3936,,56.6,,G8 V,5198.0,0.98,1.015,12.5855
55 Cnc d,55 Cnc,2,7,Radial Velocity,2002.0,Lick Observatory,Published Confirmed,0,4799.0,,1214.10451474,,G8 V,5198.0,0.98,1.015,12.5855
55 Cnc e,55 Cnc,2,7,Radial Velocity,2004.0,McDonald Observatory,Published Confirmed,0,0.7365437,2.08,7.81,1958.0,,5234.0,0.943,0.905,12.5855
55 Cnc f,55 Cnc,2,7,Radial Velocity,2007.0,Multiple Observatories,Published Confirmed,0,260.58,,48.5,,G8 V,5198.0,0.98,1.015,12.5855
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008.0,Okayama Astrophysical Observatory,Published Confirmed,0,919.86,,597.83523357,,K0 IV,4941.0,4.94,1.32,54.6599
61 Vir b,61 Vir,1,3,Radial Velocity,2009.0,Multiple Observatories,Published Confirmed,0,4.215,,5.1,,G5 V,5577.0,0.963,0.942,8.50332
61 Vir c,61 Vir,1,3,Radial Velocity,2009.0,Multiple Observatories,Published Confirmed,0,38.021,,18.2,,G5 V,5577.0,0.963,0.942,8.50332
61 Vir d,61 Vir,1,3,Radial Velocity,2009.0,Multiple Observatories,Published Confirmed,0,123.01,,22.9,,G5 V,5577.0,0.963,0.942,8.50332
7 CMa b,7 CMa,1,2,Radial Velocity,2011.0,Anglo-Australian Telescope,Published Confirmed,0,763.0,,826.3,,K1 III,4792.0,2.3,1.52,19.8101
7 CMa c,7 CMa,1,2,Radial Velocity,2019.0,Multiple Observatories,Published Confirmed,0,996.0,,276.5121,,,4826.0,4.87,1.34,19.8101
70 Vir b,70 Vir,1,1,Radial Velocity,1996.0,Lick Observatory,Published Confirmed,0,116.69335,,2297.89938261,,,5481.86,1.921943,1.06055,17.9011
75 Cet b,75 Cet,2,2,Radial Velocity,2012.0,Okayama Astrophysical Observatory,Published Confirmed,0,691.9,,953.49,,G3 III,4846.0,10.5,2.49,82.9613
75 Cet c,75 Cet,2,2,Radial Velocity,2023.0,Okayama Astrophysical Observatory,Published Confirmed,0,2051.62,,289.85950718,,G3 III,4809.0,10.38,1.92,82.9613
8 UMi b,8 UMi,1,1,Radial Velocity,2015.0,Bohyunsan Optical Astronomical Observatory,Published Confirmed,0,93.4,,476.745,,K0,4847.4,9.9,1.8,162.552
81 Cet b,81 Cet,1,1,Radial Velocity,2008.0,Okayama Astrophysical Observatory,Published Confirmed,0,952.7,,1684.4,,G5 III,4785.0,11.0,2.4,101.26
91 Aqr b,91 Aqr,3,1,Radial Velocity,2013.0,Lick Observatory,Published Confirmed,0,181.4,,1017.0,,K0 III,4665.0,11.0,1.4,44.0304
AB Aur b,AB Aur,1,1,Imaging,2022.0,Subaru Telescope,Published Confirmed,0,,,2860.455663,,,9770.0,,2.4,162.127
AB Pic b,AB Pic,1,1,Imaging,2005.0,Paranal Observatory,Published Confirmed,0,,,4290.5,,K2 V,,,,50.0475
AF Lep b,AF Lep,1,1,Imaging,2023.0,Paranal Observatory,Published Confirmed,0,7520.0,,1664.46736746,1400.0,F8 V,6100.0,1.25,1.201,26.8564
AT2021ueyL b,AT2021ueyL,1,1,Microlensing,2025.0,Multiple Observatories,Published Confirmed,0,4168.69,,425.89006538,,M V,3680.0,,0.49,1040.0
